scenario,sandbox_id,sandbox,mean_score,p10_score,p90_score,mean_rank,win_rate,top3_rate,trials
evals_and_rl_scale,daytona,Daytona sandboxes,4.2597,4.1749,4.3458,1.462,0.666,0.9865,4000
evals_and_rl_scale,modal_sandboxes,Modal Sandboxes,4.1917,4.114,4.2696,2.374,0.1675,0.9337,4000
evals_and_rl_scale,e2b,E2B sandboxes,4.1909,4.1106,4.2706,2.407,0.1615,0.9197,4000
evals_and_rl_scale,vercel_sandbox,Vercel Sandbox,4.0287,3.932,4.1243,5.593,0.0027,0.064,4000
evals_and_rl_scale,openhands_runtime_api,OpenHands runtime API sandbox,4.0115,3.9158,4.108,6.0682,0.0008,0.0437,4000
evals_and_rl_scale,kubernetes_hardened_pods,Kubernetes hardened pods,3.9941,3.9268,4.06,6.4105,0.0,0.0067,4000
evals_and_rl_scale,codex_sandbox,Codex sandbox and approvals,3.9818,3.8901,4.0733,6.9618,0.0005,0.014,4000
evals_and_rl_scale,flue_virtual_sandbox,Flue virtual sandbox,3.9727,3.865,4.0827,7.293,0.001,0.028,4000
evals_and_rl_scale,firecracker_microvm,Firecracker microVMs,3.8977,3.8303,3.9656,9.7655,0.0,0.0003,4000
evals_and_rl_scale,sandcastle_providers,Sandcastle provider sandboxes,3.8963,3.7871,4.0048,9.7747,0.0,0.0032,4000
evals_and_rl_scale,gvisor_runsc,gVisor runsc,3.8594,3.7929,3.9261,11.1605,0.0,0.0,4000
evals_and_rl_scale,docker_rootless,Docker rootless containers,3.8556,3.7889,3.922,11.2878,0.0,0.0,4000
evals_and_rl_scale,kata_containers,Kata Containers,3.8359,3.7623,3.9081,11.949,0.0,0.0,4000
evals_and_rl_scale,podman_rootless,Podman rootless containers,3.819,3.7518,3.8885,12.493,0.0,0.0,4000
evals_and_rl_scale,nsjail_bubblewrap,nsjail or bubblewrap process sandbox,3.5189,3.439,3.5991,15.0,0.0,0.0,4000
enterprise_self_hosted,kubernetes_hardened_pods,Kubernetes hardened pods,4.0809,4.0155,4.1479,1.4125,0.6775,0.9872,4000
enterprise_self_hosted,firecracker_microvm,Firecracker microVMs,4.0397,3.9735,4.1047,2.049,0.2575,0.9483,4000
enterprise_self_hosted,kata_containers,Kata Containers,3.983,3.9117,4.0541,3.1705,0.0517,0.7027,4000
enterprise_self_hosted,gvisor_runsc,gVisor runsc,3.9182,3.8491,3.9847,4.6545,0.003,0.1655,4000
enterprise_self_hosted,flue_virtual_sandbox,Flue virtual sandbox,3.875,3.7667,3.9813,5.7785,0.008,0.1242,4000
enterprise_self_hosted,podman_rootless,Podman rootless containers,3.8599,3.794,3.9277,6.1993,0.0,0.0238,4000
enterprise_self_hosted,docker_rootless,Docker rootless containers,3.856,3.7865,3.9248,6.2995,0.0003,0.0222,4000
enterprise_self_hosted,sandcastle_providers,Sandcastle provider sandboxes,3.8013,3.6917,3.9088,7.5615,0.002,0.0243,4000
enterprise_self_hosted,openhands_runtime_api,OpenHands runtime API sandbox,3.7411,3.6469,3.8378,8.9175,0.0,0.0018,4000
enterprise_self_hosted,daytona,Daytona sandboxes,3.7225,3.6339,3.8093,9.272,0.0,0.0,4000
enterprise_self_hosted,nsjail_bubblewrap,nsjail or bubblewrap process sandbox,3.5958,3.5172,3.6737,11.2538,0.0,0.0,4000
enterprise_self_hosted,e2b,E2B sandboxes,3.5766,3.4938,3.6571,11.4825,0.0,0.0,4000
enterprise_self_hosted,codex_sandbox,Codex sandbox and approvals,3.4017,3.3115,3.494,13.1092,0.0,0.0,4000
enterprise_self_hosted,modal_sandboxes,Modal Sandboxes,3.2977,3.2104,3.3817,13.9817,0.0,0.0,4000
enterprise_self_hosted,vercel_sandbox,Vercel Sandbox,3.1858,3.0852,3.2869,14.858,0.0,0.0,4000
